"%d Review(s)","%d bedømmelse(r)"
"%s Review(s)","%s bedømmelse(r)"
"(Posted on %s)","(Indsendt den %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Tilføj bedømmelse"
"Add Your Review","Bedøm selv"
"Administrator","Administrator"
"All Reviews","Alle bedømmelser"
"All Reviews of Customer `%s`","Alle bedømmelser fra kunden `%s`"
"All Reviews of Product `%s`","Alle bedømmelser af produktet `%s`"
"Allow Guests to Write Reviews","Tillad gæster at skrive bedømmelser"
"Are you sure you want to do this?","Er du sikker på, at du ønsker at udføre denne handling?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gennemsnitskarakter"
"Average Customer Rating:","Gennemsnitskarakter:"
"Back","Tilbage"
"Back to Main Product Info","Tilbage til produktside"
"Back to My Reviews","Tilbage til Mine bedømmelser"
"Back to Product Reviews","Tilbage til bedømmelser"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Catalog Product Review View","Produktbedømmelse"
"Catalog Product Reviews List","Produktbedømmelse, liste"
"Created On","Oprettet den"
"Customer","Kunde"
"Customer My Account Product Reviews","Min konto, bedømmelser"
"Customer My Account Review Details","Min konto, detaljer for bedømmelse"
"Customer Reviews","Bedømmelser"
"Customers Reviews","Kunders bedømmelser"
"Delete","Slet"
"Delete Review","Slet bedømmelse"
"Detailed Rating","Karakterer"
"Edit Review '%s'","Rediger bedømmelsen '%s'"
"Guest","Gæst"
"How do you rate this product?","Hvordan vurderer du produktet?"
"What's your nickname?","Hvad er dit navn?"
"ID","ID"
"Let us know your thoughts","Uddyb din bedømmelse"
"Manage Ratings","Administrer karakterer"
"My Product Reviews","Mine bedømmelser"
"My Recent Reviews","Mine seneste bedømmelser"
"Name","Navn"
"Name in Store","Navn i forretning"
"New Review","Ny bedømmelse"
"Nickname","Alias"
"Nickname can\'t be empty","Alias skal udfyldes"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Kun registrerede brugere kan skrive bedømmelser. <a href=""%s"">Log ind</a> eller <a href=""%s"">registrer</a>"
"Pending Reviews","Manglende godkendelse"
"Pending Reviews of Customer `%s`","Bedømmelser fra `%s` der mangler godkendelse"
"Please select a product","Vælg venligst et produkt"
"Please select one of each of the ratings above","Giv venligst din karakter til alle områder ovenfor"
"Posted By","Skrevet af"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Karakterer"
"Product Rating:","Produktkarakter:"
"Product Review (submitted on %s):","<strong>Bedømmelse</strong> (indsendt den %s):"
"Product Reviews","Bedømmelser"
"Product SKU","Produktets varenummer"
"Products Reviews","Produktbedømmelser"
"Qty","Antal"
"Rating:","Karakter:"
"Review","Bedømmelse"
"Review (submitted on %s):","Bedømmelse (indsendt %s):"
"Review Details","Bedømmelse"
"Review Form Fields Before","Bedømmelsesfelter før"
"Review by <span>%s</span>","Bedømt af <span>%s</span>"
"Review can\'t be empty","Bedømmelse skal udfyldes"
"Review summary can\'t be empty","Bedømmelsesresumé skal udfyldes"
"Reviews and Ratings","Bedømmelser og karakterer"
"SKU","Varenummer"
"Save Review","Gem bedømmelse"
"Status","Status"
"Submit Review","Indsend bedømmelse"
"Summary Rating","Gennemsnitskarakter"
"Summary of Review","Overskrift"
"Summary of Your Review","Overskrift"
"Title","Titel"
"Type","Type"
"Unable to post the review.","Kan ikke gemme anmeldelsen."
"Update Status","Opdater status"
"View All Reviews","Vis alle"
"View Details","Se detaljer"
"Visible In","Synlig i"
"Websites","Websites"
"Write Your Own Review","Indsend din bedømmelse"
"You have submitted no reviews.","Du har ikke bedømt varer endnu"
"You're reviewing:","Du anmelder:"
"Your Rating:","Dine karakterer:"
"Your Review (submitted on %s):","<strong>Din bedømmelse</strong> (indsendt den %s):"
"Your review has been accepted for moderation.","Din bedømmelse er modtaget og afventer godkendelse."
