"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure kortvalidering"
"API Login ID","API Log ind ID"
"Accepted Currency","Tilladt valuta"
"Allow Partial Authorization","Tillad delvis autorisation"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Er du sikker på at du vil annullere betalingen? Klik OK for at annullere betalingen og frigive det reserverede beløb. Klik annuller for at bruge et andet kreditkort og fortsætte betalingen."
"Authorize Only","Kun godkend"
"Authorize and Capture","Godkend og hæv"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Annuller"
"Centinel Api URL","Centinel Api URL"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","Kreditkortbekræftelse"
"Credit Card: xxxx-%s","Kreditkort: xxxx-%s"
"Debug","Debug"
"Email Customer","E-mail kunde"
"Enabled","Aktiv"
"Error in payment gateway.","Fejl i betalingsgateway"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gatewayhandlinger er låst fordi gatewayen ikke kan gennemføre en eller flere transaktioner. Log ind i Authorize.net for at løse problemerne manuelt."
"Gateway error: %s","Gatewayfejl: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Hvis tom benyttes en standardværdi. Der kan være en speciel URL defineret i din aftale med CardinalCommerce."
"Invalid amount for authorization.","Ugyldig beløb til godkendelse."
"Invalid amount for capture.","Ugyldigt beløb til hævning."
"Invalid amount for partial authorization.","Ugyldigt beløb for delvis autorisation."
"Invalid amount for refund.","Ugyldigt beløb til refundering."
"Invalid split tenderId ID.","Ugyldigt split tenderId ID."
"Maximum Order Total","Maximalt ordrebeløb"
"Merchant's Email","Forhandlers e-mail"
"Minimum Order Total","Minimum ordretotal"
"New Order Status","Status for nye ordrer"
"Payment Action","Betalingsaktion"
"Payment authorization error.","Betalingsgodkendelsesfejl."
"Payment canceling error.","Fejl ved annullering af betaling."
"Payment capturing error.","Fejl ved hævning af betaling."
"Payment from Applicable Countries","Lande der kan betales fra"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Payment partial authorization error.","Fejl ved delvis autorisation."
"Payment refunding error.","Refunderingsfejl."
"Payment updating error.","Fejl i opdatering af betaling."
"Payment voiding error.","Annulleringsfejl."
"Processed Amount","Behandlet beløb"
"Remaining Balance","Restbalance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation fjerner chargeback-hæftelsen for forretningen"
"Shopping cart contents and/or address has been changed.","Indkøbskurvens indhold og/eller adressen er ændret."
"Sort Order","Sorteringsrækkefølge"
"Test Mode","Testmode"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Der er ikke tilstrækkeligt penge på kreditkortet. Det tilgængelige beløb er midlertidigt reserveret. For at gennemføre købet kan du klikke OK og angive endnu et kreditkort. For at annullere købet og ophæve det reserverede beløb, klik annuller."
"There was an error canceling transactions. Please contact us or try again later.","Der opstod en fejl ved annullering af transaktionen. Kontakt os eller prøv igen."
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"You have reached the maximum number of credit card allowed to be used for the payment.","You have reached the maximum number of credit card allowed to be used for the payment."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Din betaling er annulleret. Alle autoriserede beløb er frigivet."
"amount %s","beløb %s"
"authorize","autoriser"
"authorize and capture","autoriser og hæv"
"capture","hæv"
"failed","fejlede"
"refund","refunder"
"successful","gennemført"
"void","annuller"
