"Alert Email Sender","Overvågningsbesked - afsender"
"Alert subscription has been saved.","Tilmelding til overvågning er gemt."
"Allow Alert When Product Comes Back in Stock","Modtag besked når varen er på lager igen"
"Allow Alert When Product Price Changes","Modtag besked når varens pris går op eller ned"
"Click here not to receive alerts for this product","Klik her for at slå prisovervågning fra for dette produkt"
"Error Email Recipient","Fejl - modtager"
"Error Email Sender","Fejl - afsender"
"Error Email Template","Fejl - e-mailskabelon"
"Frequency","Hyppighed"
"Not enough parameters.","For få parametre angivet"
"Price Alert Email Template","E-mailskabelon - Prisovervågning"
"Price:","Pris:"
"Product Alerts","Produktovervågning"
"Product Alerts Run Settings","Produktovervågning - kørselsindstillinger"
"Product alerts Cron error","Produktovervågning - Cron-fejl"
"Product price alert","Prisovervågning"
"Product stock alert","Lagerovervågning"
"Regular Price:","Normalpris:"
"Sign up for price alert","ønsker du at modtage besked, når prisen på dette produkt ændrer sig?"
"Sign up to get notified when this product is back in stock","Ønsker du at modtage en besked, når vi igen har produktet på lager?"
"Special price:","Specialpris:"
"Start Time","Starttidspunkt"
"Stock Alert Email Template","Varsel om lagerstatus - mailskabelon"
"The alert subscription has been deleted.","Tilmeldingen til overvågningen er slettet."
"The alert subscription has been saved.","Tilmeldingen til overvågningen er gemt."
"The product is not found.","Produkt ikke fundet."
"The product was not found.","Produkt ikke fundet."
"Unable to update the alert subscription.","Kan ikke opdatere overvågningstilmeldingen."
"Unsubscribe from all price alerts","Slå al prisovervågning fra"
"Unsubscribe from all stock alerts","Slå al lagerovervågning fra"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Følgende produkter er nu på lager igen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du modtager denne meddelelse, fordi du abonnerer på få besked, når priserne for de følgende produkter ændres:"
"You will no longer receive price alerts for this product.","Prisovervågning for dette produkt er slået fra"
"You will no longer receive stock alerts for this product.","Lagerovervågning for dette produkt er slået fra"
"You will no longer receive stock alerts.","Lagerstatus-overvågning er slået fra"
