"A block identifier with the same properties already exists in the selected store.","Et blok-ID med de samme indstillinger findes allerede i den valgte forretning."
"A directory with the same name already exists. Please try another folder name.","Der findes allerede en mappe med samme navn. Prøv et andet navn."
"A page URL key for specified store already exists.","Der findes allerede en side-URL for den valgte forretning."
"Action","Handling"
"Add New Block","Tilføj ny blok"
"Add New Page","Tilføj ny side"
"All Countries","Alle lande"
"An error occurred while saving the page.","Fejl ved lagring af siden."
"Anchor Custom Text","Linktekst"
"Anchor Custom Title","Linktitel"
"Are you sure you want to delete current folder?","Er du sikker på at du vil slette denne mappe?"
"Are you sure you want to delete the selected file?","Er du sikker på at du vil slette den valgte fil?"
"Block","Blok"
"Block Information","Blok - detaljer"
"Block Title","Navn"
"CMS","CMS"
"CMS Content Wrapper","CMS indholdswrapper"
"CMS Home Page","CMS - Forside"
"CMS No Cookies Page","CMS - 'ingen cookies'-side"
"CMS No Route Page","CMS 404-side"
"CMS No-Route Page","CMS 404-side"
"CMS Page","CMS-side"
"CMS Page Link","CMS-sidelink"
"CMS Page Link Block Template","CMS-side, blokskabelon"
"CMS Page Link Inline Template","CMS-side, inline-skabelon"
"CMS Pages (All)","CMS-sider (alle)"
"CMS Static Block","CMS statisk blok"
"CMS Static Block Default Template","CMS statisk blok, standardskabelon"
"Cannot create new directory.","Kan ikke oprette ny mappe"
"Cannot delete directory %s.","Kan ikke slette mappen %s"
"Cannot delete root directory %s.","Kan ikke slette rodmappen %s"
"Cannot upload file.","Kan ikke uploade fil"
"Collapse All","Fold alle sammen"
"Content","Indhold"
"Content Heading","Indholdsoverskrift"
"Content Management","Indholdsstyring"
"Contents of a Static Block","Indhold af statisk blok"
"Create Folder...","Opret mappe..."
"Custom Design","Eget design"
"Custom Design From","Eget design fra"
"Custom Design To","Eget design til"
"Custom Layout","Eget layout"
"Custom Layout Update XML","Eget layout, XML"
"Custom Theme","Eget tema"
"Customer Tax Class Information","Gruppe - detaljer"
"Date Created","Oprettet"
"Delete Block","Slet blok"
"Delete File","Slet fil"
"Delete Folder","Slet mappe"
"Delete Page","Slet side"
"Description","Beskrivelse"
"Design","Design"
"Disabled","Inaktiv"
"Disabled Completely","Totalt deaktiveret"
"Disabled by Default","Deaktiveret som standard"
"Edit Block","Rediger blok"
"Edit Block '%s'","Rediger Blok '%s'"
"Edit Page","Rediger side"
"Edit Page '%s'","Rediger side '%s'"
"Enable WYSIWYG Editor","Aktiver WYSIWYG-editor"
"Enabled","Aktiv"
"Enabled by Default","Aktiveret som standard"
"Expand All","Udvid alle"
"General Information","Indhold"
"Go to Home Page","Gå til forside"
"Home","Til forsiden"
"ID","ID"
"Identifier","Identifikator"
"If empty, the Page Title will be used","Hvis tom benyttes sidetitlen"
"Images (%s)","Billeder (%s)"
"Insert File","Indsæt fil"
"Insert Image...","Indsæt billede..."
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Ugyldigt mappenavn. Brug venligst tal og bogstaver."
"Keywords","Nøgleord"
"Last Modified","Senest redigeret"
"Layout","Layout"
"Layout Update XML","Layoutopdaterings-XML"
"Link to a CMS Page","Link til en CMS-side"
"Manage Pages","Sider"
"Media Storage","Mediearkiv"
"Meta Data","Metadata"
"Meta Description","Metabeskrivelse"
"Meta Keywords","Metanøgleord"
"New Block","Ny blok"
"New Folder Name:","Navn på ny mappe:"
"New Page","Ny side"
"No files found","Ingen filer fundet"
"Page Information","Sidedetaljer"
"Page Layout","Sidelayout"
"Page Status","Sidestatus"
"Page Title","Overskrift"
"Pages","Sider"
"Product Tax Class Information","Gruppe - detaljer"
"Redirect to CMS-page if Cookies are Disabled","Omdiriger til CMS-side hvis cookies er deaktiveret"
"Relative to Website Base URL","Relativt til base-URL for websitet"
"Save Block","Gem blok"
"Save Page","Gem side"
"Save Process","Gem proces"
"Select Block...","Vælg blok..."
"Select Page...","Vælg side..."
"Show Breadcrumbs for CMS Pages","Vis brødkrummesti for CMS-sider"
"Show Notice if JavaScript is Disabled","Vis besked hvis JavaScript er deaktiveret"
"Static Blocks","Statiske blokke"
"Status","Status"
"Storage Root","Mediemappe"
"Store View","Forretningsvisning"
"Template","Skabelon"
"The block has been deleted.","Blokken er slettet."
"The block has been saved.","Blokken er gemt."
"The directory %s is not writable by server.","Mappen %s er ikke skrivbar."
"The page URL key cannot consist only of numbers.","URL-nøglen for siden må ikke bestå udelukkende af tal."
"The page URL key contains capital letters or disallowed symbols.","Sidens URL-nøgle indeholder store bogstaver eller symboler der ikke er tilladte."
"The page has been deleted.","Siden er slettet."
"The page has been saved.","Siden er gemt."
"The static block content cannot contain  directive with its self.","Blokken kan ikke indeholde referencer til sig selv"
"This block no longer exists.","Denne blok eksisterer ikke længere"
"This page no longer exists.","Siden eksisterer ikke længere"
"Title","Titel"
"URL Key","URL-nøgle"
"Unable to find a block to delete.","Systemet kunne ikke finde blokken, som skulle slettes"
"Unable to find a page to delete.","Systemet kunne ikke finde nogen sider"
"WYSIWYG Options","WYSIWYG-indstillinger"
"px.","px."
