"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Bemærk</strong>: Captcha skelner mellem store og små bogstaver."
"After number of attempts to login","Efter antal forsøg på login"
"Always","Altid"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutter)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA for formularerne ""opret bruger"" and ""glemt kodeord"" er altid aktiveret hvis valgt"
"Case Sensitive","Forskel på store og små bogstaver"
"Displaying Mode","Visning"
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i admin"
"Enable CAPTCHA on Frontend","Aktiver CAPTCHA i frontend"
"Font","Skrifttype"
"Forms","Formularer"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 angives vil CAPTCHA altid være tilgængelig i loginformularen."
"Incorrect CAPTCHA.","Forkert CAPTCHA."
"Number of Symbols","Antal symboler"
"Number of Unsuccessful Attempts to Login","Antal fejlforsøg på login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Angiv maksimalt 8 symboler. Tilladt interval (f.eks. 3-5)"
"Please type the letters below","Indtast bogstaverne nedenfor"
"Please type the letters from the image:","Indtast bogstaverne fra billedet:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Brug kun bogstaver (a-z eller A-Z) eller tal (0-9) i dette felt. Mellemrum eller øvrige tegn er ikke tilladt.<br />Tegn der let kan forveksles (f.eks. ""i"", ""l"", ""1"") forringer kundens chance for korrekt genkendelse."
"Reload captcha","Genindlæs captcha"
"Symbols Used in CAPTCHA","Symboler der anvendes i CAPTCHA"
