"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d prisregler for indkøbskurv baseret på egenskaben ""%s"" er deaktiveret."
"%s Coupon(s) have been generated","%s rabatkoder er genereret"
"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Alphabetical","Alfabetisk"
"Alphanumeric","Alfanumerisk"
"An error occurred while generating coupons. Please review the log and try again.","Der skete en fejl ved generering af rabatkoderne. Kontroller loggen og prøv igen."
"Apply To","Anvend på"
"Apply the rule only if the following conditions are met (leave blank for all products)","Anvend kun regel, hvis følgende betingelser er opfyldt (lad stå tom for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Anvend kun reglen på varer i indkøbskurv, som lever op til følgende betingelser (lad stå tom hvis det skal gælde alle varer)"
"Apply the rule to cart items matching the following conditions","Anvend reglen på varer i indkøbskurv, som lever op til følgende betingelser"
"Apply to Shipping Amount","Anvend på leveringsbeløb"
"Apply","Giv"
"Are you sure you want to delete the selected coupon(s)?","Er du sikker på at du vil slette de valgte rabatkoder?"
"Auto Generated Specific Coupon Codes","Autogenerede rabatkoder"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Køb X, få Y gratis (mængde er Y)"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"Can\'t acquire coupon.","Kan ikke hente kupon."
"Cart Attribute","Egenskaber for kurv"
"Catalog","Katalog"
"Code Format","Kodeformat"
"Code Length","Kodelængde"
"Code Prefix","Kodepræfix"
"Code Suffix","Kodesuffix"
"Conditions combination","Betingelseskombination"
"Conditions","Betingelser"
"Coupon Code","Rabatkode"
"Coupon Qty","Antal rabatkoder"
"Coupon with the same code","Rabatkupon med samme kode"
"Coupon","Rabatkupon"
"Coupons Information","Information om rabatkoder"
"Created On","Oprettet"
"Customer Groups","Kundegrupper"
"Dash Every X Characters","Bindestreg for hver X tegn"
"Date Expire","Udløbsdato"
"Date Start","Startdato"
"Default Label","Standardlabel"
"Default Rule Label for All Store Views","Standardlabel for reglen for alle forretningsvisninger"
"Description","Beskrivelse"
"Discount Amount","Beløb/procent/mængde"
"Discount Qty Step (Buy X)","Rabat mængdetrin (Køb X)"
"Edit Rule '%s'","Rediger regel '%s'"
"Edit Rule","Rediger regel"
"Excluding prefix, suffix and separators.","Eksklusiv præfix, suffix og separatorer."
"Fixed amount discount for whole cart","Fast rabatbeløb for hele indkøbskurven"
"Fixed amount discount","Rabat (fast beløb)"
"For matching items only","Gælder kun matchende varer"
"For shipment with matching items","For hele leveringen, hvis der er matchende varer"
"Free Shipping","Gratis levering"
"From Date","Startdato"
"General Information","Indhold"
"Generate","Generer"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Hvis %s %s %s for en gruppe af varer i kurven der opfylder %s af disse betingelser:"
"If an item is %s in the cart with %s of these conditions true:","Hvis en vare er %s i kurven med %s af disse betingelser opfyldt:"
"If empty no separation.","Hvis tom bruges ingen separator."
