"""Remember Me"" Default Value","""Husk mig"" standardværdi"
"(Not %s?)","(Ikke %s?)"
"* Required Fields","* Obligatoriske felter"
"Address","Adresse"
"Address Information","Adresseinformation"
"Already registered?","Allerede registreret?"
"Back","Tilbage"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du kunne gennemføre dine køb meget hurtigere, gemme flere leveringsadresser, se og spore dine ordrer på din konto og meget mere."
"Cannot load configuration from file %s.","Kan ikke indlæse konfiguration fra filen %s."
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Bestil som gæst eller registrer dig"
"City","By"
"Clear Persistence on Log Out","Slet vedvarende data når der logges af"
"Close","Luk"
"Company","Firma"
"Confirm Password","Bekræft password"
"Continue","Fortsæt"
"Country","Land"
"Create an Account","Opret en konto"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Email Address","E-mailadresse"
"Enable ""Remember Me""","Aktiver ""Husk mig"""
"Enable Persistence","Aktiver vedvarende data"
"Fast and easy check out","Hurtig og nem bestilling"
"Fax","Fax"
"Forgot Your Password?","Glemt dit password?"
"Forgot your password?","Glemt dit password?"
"General Options","Generelle indstillinger"
"If you have an account with us, please log in.","Hvis du har en konto hos os, så log ind nu."
"Loading next step...","Indlæser næste trin..."
"Login","Log ind"
"Login Information","Login-oplysninger"
"Login or Create an Account","Log ind eller opret en konto"
"New Customers","Nye kunder"
"Password","Password"
"Persist Shopping Cart","Gør indkøbskurv vedvarende"
"Persistence Lifetime (seconds)","Levetid for vedvarende data (sekunder)"
"Persistent Shopping Cart","Vedvarende indkøbskurv"
"Personal Information","Personlige oplysninger"
"Please log in below:","Log ind herunder:"
"Please select region, state or province","Vælg område, stat eller provins"
"Register","Registrer"
"Register and save time!","Registrer dig og spar tid!"
"Register to Create an Account","Registrer dig for at oprette en konto"
"Register with us for future convenience:","Registrer dig og gør det nemmere i fremtiden:"
"Registered Customers","Registrerede kunder"
"Remember Me","Husk mig"
"Save in address book","Gem i adressebog"
"Select State/Province...","Vælg stat/provins..."
"Select a billing address from your address book or enter a new address.","Vælg en betalingsadresse fra din adressebog eller indtast en ny adresse."
"Ship to different address","Levér til en anden adresse"
"Ship to this address","Levér til denne adresse"
"Shopping cart has been updated with appropriate prices","Indkøbskurven er opdateret med de relevante priser"
"Sign Up for Newsletter","Tilmeld nyhedsbrevet"
"State/Province","Stat/provins"
"Street Address","Adresse"
"Street Address %s","Adresse %s"
"Submit","OK"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Log ind med din e-mailadresse for at komme videre til bestillingen."
"VAT Number","Momsnummer"
"Welcome, %s!","Velkommen %s!"
"What\'s this?","Hvad er det her?"
"Zip/Postal Code","Postnummer"
