"%s - Discounts and Coupons","%s - rabatter og kuponer"
"%s - Special Products","%s - Specielle produkter"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s har nået et antal af %s"
"%s\'s Wishlist","%s's ønskeseddel"
"Cannot retrieve the wishlist","Kan ikke hente ønskeseddel"
"Catalog","Katalog"
"Category Feeds","Kategorifeed"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Coupons/Discounts","Kuponer/rabatter"
"Current Status: %s<br/>","Nuværende status: %s<br/>"
"Customer Name: %s","Kunde: %s"
"Customer Order Status Notification","Besked om kundes ordrestatus"
"Details for %s #%s","Detaljer for %s #%s"
"Discount","Rabat"
"Discount (%s)","Rabat (%s)"
"Enable RSS","Aktiver RSS"
"Error in processing xml. %s","Fejl under behandling af XML: %s"
"From:","Fra:"
"Get Feed","Hent feed"
"Gift Message","Gavebesked"
"Grand Total","Total"
"Low Stock Products","Produkter med lavt lagerantal"
"Message:","Besked:"
"Miscellaneous Feeds","Diverse feeds"
"New Orders","Nye ordrer"
"New Products","Nye varer"
"New Products from %s","Nye produkter fra %s"
"Notified Date: %s<br/>","Beskeddato: %s<br/>"
"Order # %s Notification(s)","Beskeder i forbindelse med ordre # %s"
"Order #%s created at %s","Ordre #%s oprettet i %s"
"Pending product review(s)","Afventende produktbedømmelser"
"Product: ""%s"" review By: %s","Produkt: ""%s"" bedømt af: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Varer tagget med %s"
"Purchased From: %s","Købt igennem: %s"
"RSS","RSS"
"RSS Feeds","RSS-feeds"
"RSS Feeds List","RSS-feeds liste"
"RSS Feeds Section","RSS Feeds-sektion"
"Review: %s <br/>","Bedømmelse: %s <br/>"
"Rss Config","RSS konfiguration"
"Shipping &amp; Handling","Levering &amp; håndtering"
"Special Products","Specielle produkter"
"Store: %s <br/>","Butik: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Bedømmelse (kort): %s <br/>"
"Tags Products","Tags (produkter)"
"Tax","Moms"
"There are no Rss Feeds","Der er ingen RSS-feeds"
"To:","Til:"
"Top Level Category","Topkategori"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Ønskeseddel"
"click <a href=""%s"">here</a> to view the review","klik <a href=""%s"">her</a> for at vise bedømmelsen"
