"Add","Tilføj"
"Add gift options","Tilføj gaver"
"Add gift options for Individual Items","Gør udvalgte varer til gaver"
"Add gift options for the Entire Order","Gør hele ordren til en gave"
"Add gift options.","Tilføj gaver."
"Allow Gift Messages for Order Items","Tillad gavebeskeder for ordreelementer"
"Allow Gift Messages on Order Level","Tillad gavebeskeder på ordreniveau"
"An error occurred while saving the gift message.","Fejl ved lagring af gavebeskeden."
"Are you sure?","Er du sikker?"
"Cancel","Annuller"
"Do you have any gift items in your order?","Har du nogen gaver i din ordre?"
"Edit","Rediger"
"From","Fra"
"Gift Message","Gavebesked"
"Gift Options","Gaver"
"Gift Options for","Gaver for"
"Gift Options for Individual Items","Udvalgte varer som gaver."
"Gift Options for the Entire Order.","Gaver for hele ordren."
"Gift Options for this address.","Gaver for denne adresse."
"Item %d of %d","Post %d af %d"
"Message","Besked"
"No","Nej"
"OK","OK"
"Save Gift Message","Gem besked"
"The gift message has been removed","Gavebeskeden er fjernet."
"The gift message has been saved","Gavebeskeden er gemt"
"The gift message has been saved.","Gavebeskeden er gemt."
"To","Til"
"Unknown entity type","Ukendt enhedstype"
"Use config","Brug konfiguration"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Du kan lade feltet være tomt hvis du ikke vil indtaste en gavebesked for denne vare."
"You can leave this box blank if you do not wish to add a gift message for this address.","Du kan lade feltet være tomt hvis du ikke vil indtaste en gavebesked for denne adresse."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Du kan lade feltet være tomt hvis du ikke vil indtaste en gavebesked for hele ordren."
