"%s was added to your shopping cart.","%s er lagt i indkøbskurven."
"%s was updated in your shopping cart.","%s er opdateret i indkøbskurven."
"* Required Fields","* Skal udfyldes"
"Account","Konto"
"Add New Address","Tilføj ny adresse"
"Add New Condition","Tilføj nyt vilkår"
"Add coupon code for shopping cart","Tilføj rabatkode til indkøbskurven"
"Add product to shopping cart","Læg produkt i kurven"
"Add product(s) to shopping cart","Læg produkter i kurven"
"Add to Cart","Læg i kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Sæt på ønskeseddel"
"Additional Product Info","Yderligere produktinfo"
"Address","Gade/vej"
"Address %s of %s","Adresse %s af %s"
"After Adding a Product Redirect to Shopping Cart","Efter tilføjelse af produkt, gå til kurven"
"Allow Guest Checkout","Tillad gæstebestilling"
"Already registered?","Allerede oprettet?"
"An error occurred in the process of payment","En fejl opstod ved behandling af betalingen"
"An error occurred while deleting this condition.","Fejl ved sletning af betingelsen."
"An error occurred while saving this condition.","Fejl ved lagring af betingelsen."
"Apply","Anvend"
"Apply Coupon","Anvend kupon"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at varen skal fjernes fra kurven?"
"Back","Tilbage"
"Back to Billing Information","Tilbage til faktureringsinformation"
"Back to Select Addresses","Tilbage til vælg adresser"
"Back to Shipping Information","Tilbage til leveringsinformation"
"Back to Shopping Cart","Tilbage til indkøbskurven"
"Based on your selection, you may be interested in the following items:","Baseret på indholdet af din kurv vil du måske også være interesseret i følgende varer:"
"Billing Address","Betalingsadresse"
"Billing Information","Betalingsadresse"
"Billing Information - %s","Faktureringsinformation - %s"
"Cancel Coupon","Annuller rabatkupon"
"Cannot add item to the shopping cart.","Kan ikke lægge varen i kurven."
"Cannot add the item to shopping cart","Kan ikke lægge varen i kurven."
"Cannot add the item to shopping cart.","Kan ikke lægge varen i kurven."
"Cannot apply the coupon code.","Rabatkoden kan ikke bruges."
"Cannot configure product.","Kan ikke konfigurere produkt."
"Cannot open the overview page","Kan ikke åbne oversigtssiden"
"Cannot process the item.","Kan ikke behandle varen."
"Cannot remove the item.","Kan ikke fjerne varen."
"Cannot update shopping cart.","Indkøbskurv kan ikke opdateres"
"Cannot update the item.","Kan ikke opdatere varen."
"Card Verification Number Visual Reference","Kontrolcifre (visuel reference)"
"Cart","Indkøbskurv"
"Cart Product Api","Varer i kurv-API"
"Cart Subtotal:","Indkøbskurv subtotal:"
"Change","Rediger"
"Change Billing Address","Skift betalingsadresse"
"Checkbox Text","Checkbox tekst"
"Checkout","Bestilling"
"Checkout Conditions","Bestillingsvilkår"
"Checkout Method","Bestillingsmetode"
"Checkout Options","Bestillingsmuligheder"
"Checkout Progress Wrapper","Bestillingsproces-wrapper"
"Checkout Section","Bestillingssektion"
"Checkout Terms and Conditions","Bestillingsvilkår"
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Bestil som gæst eller opret en konto"
"Checkout with Multiple Addresses","Bestil til flere adresser"
"City","By"
"Clear Shopping Cart","Tøm indkøbskurv"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target=\'_blank\'"">her for at printe</a> en kopi af ordrebekræftelsen."
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">her</a> for at handle videre."
"Close","Luk"
"Company","Firma"
"Condition Name","Navn på vilkår"
"Configurable Product Image","Konfigurerbart produktbillede"
"Configure Cart Item","Konfigurer vare i kurven"
"Confirm Password","Bekræft kodeord"
"Content","Indhold"
"Content Height","Indholdshøjde"
"Content Height (css)","Indholdshøjde (css)"
"Continue","Fortsæt"
"Continue Shopping","Fortsæt med at shoppe"
"Continue to Billing Information","Fortsæt til betalingsadresse"
"Continue to Review Your Order","Fortsæt til ordreoversigten"
"Continue to Shipping Information","Fortsæt til leveringsoplysninger"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabatkoden ""%s"" er ikke gyldig."
"Coupon code ""%s"" was applied.","Rabatkoden ""%s"" er nu medregnet i ordren."
"Coupon code was canceled.","Rabatkoden er annulleret."
"Create Billing Address","Opret betalingsadresse"
"Create Shipping Address","Opret leveringsadresse"
"Create an order from shopping cart","Opret en ordre fra indkøbskurven"
"Create shopping cart","Opret indkøbskurv"
"Customer Address is not valid.","Kundeadresse er ugyldig."
"Customer Information","Kundedata"
"Customer's information","Kundens data"
"Data saving problem","Kunne ikke gemme."
"Default Billing","Betaling (standard)"
"Default Shipping","Levering (standard)"
"Delete Condition","Slet vilkår"
"Details","Detaljer"
"Disabled","Deaktiveret"
"Discount Codes","Rabatkoder"
"Display Cart Summary","Visning af kurvoversigt"
"Display Shopping Cart Sidebar","Vis kurv i sidebar"
"Display item quantities","Vis antal af hvert produkt"
"Display number of items in cart","Vis samlet antal varer i kurven"
"Display number of items in wishlist","Vis antal varer på ønskesedlen"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Edit","Rediger"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger betalingsadresse"
"Edit Condition","Rediger betingelse"
"Edit Items","Tilføj/fjern produkter"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger vilkår"
"Edit Your Cart","Rediger kurv"
"Edit item","Rediger vare"
"Edit item parameters","Rediger vareegenskaber"
"Email Address","E-mailadresse"
"Empty Cart","Tøm kurv"
"Enable Onepage Checkout","Aktiver ensidesbestilling"
"Enable Terms and Conditions","Aktiver vilkår og betingelser"
"Enabled","Aktiveret"
"Enter a New Address","Indtast ny adresse"
"Enter your coupon code if you have one.","Indtast din rabatkode her."
"Enter your destination to get a shipping estimate.","Indtast destination for at få et prisoverslag på levering"
