"Actions","Handlinger"
"An error occurred while marking notification as read.","En fejl opstod i forbindelse med at markere beskeden som læst."
"An error occurred while marking the messages as read.","En fejl opstod i forbindelse med at markere beskederne som læst."
"An error occurred while removing messages.","En fejl opstod i forbindelse med at slette beskederne."
"An error occurred while removing the message.","En fejl opstod i forbindelse med at slette beskeden."
"Are you sure?","Er du sikker?"
"Date Added","Dato tilføjet"
"Last Update","Seneste opdatering"
"Mark as Read","Marker som læst"
"Mark as read","Marker som læst"
"Message","Besked"
"Messages Inbox","Indbakke"
"Notifications","Notifikationer"
"Please select messages.","Vælg beskeder."
"Read Details","Læs detaljer"
"Remove","Slet"
"Severity","Alvorlighed"
"Show List","Vis liste"
"Show Toolbar","Vis værktøjslinje"
"The message has been marked as read.","Beskeden er markeret som læst."
"The message has been removed.","Beskeden er slettet."
"Total of %d record(s) have been marked as read.","I alt %d besked(er) er markeret som læst."
"Total of %d record(s) have been removed.","I alt %d besked(er) er slettet."
"Unable to proceed. Please, try again.","Kan ikke fortsætte. Prøv igen."
"Update Frequency","Opdateringsfrekvens"
"Use HTTPS to Get Feed","Brug HTTPS til at hente feed"
"Wrong message type","Forkert beskedtype"
"critical","kritisk"
"major","større"
"minor","mindre"
"notice","notits"
