"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure kortvalidering"
"3D Secure Cardholder Validation","3D Secure validering af kortholder"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure verifikationsresultat"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kortudsteders hæftelse"
"Card Verification","Kortverifikation"
"Enrolled","Indskrevet"
"Enrolled but Authentication Unavailable","Indskrevet, men autenficering er utilgængelig"
"Failed","Fejlet"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Forretningens hæftelse"
"Not Enrolled","Ikke indskrevet"
"Order cannot be placed.","Ordren kan ikke gennemføres."
"Payment information error. Please start over.","Fejl i betalingsinformationen. Start forfra."
"Please continue with placing order.","Fortsæt bestillingen."
"Please verify the card with the issuer bank before placing the order.","Verificer kortet hos udstedelsesbanken før ordren gennemføres."
"Please verify the card with the issuer bank:","Verificer kortet hos udstedelsesbanken:"
"Start/Reset Validation...","Start/nulstil validering..."
"Successful","Vellykket"
"Successful attempt","Vellykket forsøg"
"The card has failed verification with the issuer bank.","Kortet fejlede verifikation hos udstedelsesbanken."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Der er givet forkerte betalingsoplysninger, eller tidsgrænsen er udløbet. Prøv igen."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Der er givet forkerte betalingsoplysninger, eller tidsgrænsen er udløbet. Prøv igen."
"This card has failed validation and cannot be used.","Kortet fejlede verifikationen og kan ikke bruges."
"To ensure the security of your transactions","For at sikre sikkerheden i dine transaktioner"
"Unable to complete","Kunne ikke gennemføre"
"Validation failed.","Validering fejlede."
"Verification Failed","Verifikation fejlede."
"Verification Successful","Verifikation vellykket"
"Verification cannot be processed","Verifikationen kan ikke behandles"
"Verified by Visa","Verified by Visa"
