"Add Recipient","Tilføj modtager"
"Allow for Guests","Tillad gæster at bruge denne funktion"
"An invalid email address for recipient was entered.","Modtagerens emailadresse er ugyldig."
"At least one recipient must be specified.","Angiv mindst én modtager."
"Back","Tilbage"
"Catalog Product Email to a Friend","Send produkt til en ven"
"Email Address","E-mailadresse"
"Email Address:","E-mailadresse:"
"Email Templates","E-mailskabelon"
"Email to a Friend","Tip en ven"
"Email:","E-mail:"
"Enabled","Aktiv"
"Invalid Sender Information","Ugyldig afsenderinfo"
"Invalid sender email.","Ugyldig afsender-e-mail"
"Limit Sending By","Begræns afsending til"
"Max Products Sent in 1 Hour","Maks. antal produkter sendt i timen"
"Max Recipients","Maks. antal modtagere"
"Maximum %d email addresses allowed.","Maksimum %d e-mailadresser tilladt."
"Message:","Besked:"
"Name","Navn"
"Name:","Navn:"
"No more than %d emails can be sent at a time.","Der kan maksimalt sendes %d emails ad gangen."
"Please define a correct Cookie instance.","Definer en korrekt cookie-instans."
"Please define a correct Product instance.","Definer en korrekt produktinstans."
"Please define the correct Sender information.","Definer korrekt afsenderinformation."
"Recipient:","Modtager:"
"Remove Email","Fjern e-mail"
"Select Email Template","Vælg skabelon"
"Send Email","Send e-mail"
"Send product to a friend","Send produkt til en ven"
"Sender:","Afsender:"
"Some emails were not sent.","Nogle emails kunne ikke sendes."
"The link to a friend was sent.","Linket kunne ikke sendes."
"The message cannot be empty.","Beskeden må ikke være tom."
"The messages cannot be sent more than %d times in an hour","Beskederne kan ikke sendes mere end %d gange i timen"
"The sender name cannot be empty.","Afsendernavn må ikke være tomt."
"There were some problems with the data.","Der er problemer med dataene."
"You have exceeded limit of %d sends in an hour","Du har passeret grænsen for %d afsendelser i timen"
