" Copy"," Kopier"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Dette tag er til afmeldelseslink  --> Følg dette link for at afmelde <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","Handling"
"Add New Template","Tilføj ny skabelon"
"Add to Queue","Tilføj til kø"
"Allow Guest Subscription","Tillad tilmelding fra gæster"
"An error occurred while saving your subscription.","Fejl ved lagring af tilmeldingen."
"Are you sure that you want to delete this template?","Er du sikker på, at skabelonen skal slettes?"
"Are you sure that you want to strip all tags?","Er du sikker på, at du ønsker at fjerne alle tags?"
"Back","Tilbage"
"Cancel","Annuller"
"Cancelled","Annulleret"
"Cannot mark as received subscriber.","Status kunne ikke sættes til 'modtaget'"
"Confirmation Email Sender","Bekræftelsesmail - afsender"
"Confirmation Email Template","Bekræftelsesmail - skabelon"
"Confirmation request has been sent.","Vi takker for din tilmelding. Vi har sendt en mail til den e-mailadresse, du angav, og vi beder dig bekræfte modtagelsen af denne mail."
"Convert to Plain Text","Konverter til tekst"
"Create Newsletter Template","Opret skabelon til nyhedsbrev"
"Customer","Kunde"
"Customer First Name","Kundens fornavn"
"Customer Last Name","Kundens efternavn"
"Customer My Account Newsletter Subscriptions","Min konto, nyhedsbreve"
"Date Added","Tilføjet d."
"Date Updated","Opdateret den"
"Delete","Slet"
"Delete Selected Problems","Slet valgte problemer"
"Delete Template","Slet skabelon"
"Do you really want to cancel the queue?","Er du sikker på, at køen skal annulleres?"
"Duplicate template code.","Dobbelt skabelonskode."
"Edit Newsletter","Rediger nyhedsbrev"
"Edit Newsletter Template","Rediger skabelon"
"Edit Queue","Rediger kø"
"Edit Template","Rediger skabelon"
"Email","E-mail"
"Enter your email address","Indtast din e-mail-adresse"
"Error Code","Fejlkode"
"Error Text","Fejlbesked"
