"Action","Handling"
"An error occurred while creating the backup.","Fejl ved oprettelse af backup."
"An error occurred while writing to the backup file ""%s"".","Fejl ved skrivning af backupfilen ""%s""."
"Are you sure you want to delete the selected backup(s)?","Er du sikker på at du vil slette de valgte backups?"
"Backup Type","Backuptype"
"Backup file ""%s"" cannot be read from or written to.","Backupfilen ""%s"" kan ikke læses eller skrives."
"Backup file ""%s"" does not exist.","Backupfilen ""%s"" eksisterer ikke."
"Backup file does not exist.","Backupfilen eksisterer ikke."
"Backup file handler was unspecified.","Backup file handler er ikke angivet."
"Backup file not found","Backupfil ikke fundet"
"Backup file path was not specified.","Stien til backupfilen er ikke angivet."
"Backups","Sikkerhedskopier"
"Cannot read backup file.","Kunne ikke indlæse sikkerhedskopi"
"Create Backup","Lav sikkerhedskopi"
"Database Backup","Databasebackup"
"Database and Media Backup","Database- og mediebackup"
"Database was successfuly backed up.","Database blev sikkerhedskopieret."
"Download","Download"
"Enable Scheduled Backup","Aktiver planlagt backup"
"Failed to connect to FTP","Kunne ikke forbinde til FTP"
"Failed to delete one or several backups.","Kunne ikke slette en eller flere backups."
"Failed to rollback","Kunne ikke udføre rollback"
"Failed to validate FTP","Kunne ikke validere FTP"
"Frequency","Frekvens"
"Invalid Password.","Ugyldigt password."
"Maintenance Mode","Vedligeholdelsestilstand"
"Name","Navn"
"Not enough free space to create backup.","Ikke tilstrækkelig ledig plads til at tage backup."
"Not enough permissions to create backup.","Ikke tilstrækkelige tilladelser til at tage backup."
"Not enough permissions to perform rollback","Ikke tilstrækkelige tilladelser til at udføre rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Du skal enten undlade at vælge ""Sæt forretning i vedligeholdelsestilstand"" eller opdatere dine tilladelser for at fortsætte med backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Du skal enten undlade at vælge ""Sæt forretning i vedligeholdelsestilstand"" eller opdatere dine tilladelser for at fortsætte med rollback."""
"Put store on the maintenance mode while backup's creation","Sæt forretning i vedligeholdelsestilstand mens der tages backup"
"Rollback","Rollback"
"Scheduled Backup Settings","Indstillinger for planlagt backup"
"Size, Bytes","Størrelse i bytes"
"Start Time","Starttidspunkt"
"System Backup","System backup"
"System couldn't put store on the maintenance mode","Systemet kunne ikke sætte forretningen i vedligeholdelsestilstand"
"The database and media backup has been created.","Database og mediebackup er udført."
"The database backup has been created.","Databasebackup er udført."
"The file was compressed with Zlib, but this extension is not installed on server.","Filen er komprimeret med Zlib, men dette modul er ikke installeret på serveren."
"Time","Dato og tidspunkt"
"Type","Type"
"Unable to create backup. Please, try again later.","Kan ikke lave backup. Prøv igen senere."
"Unable to save the cron expression.","Kunne ikke gemme cron-udtrykket."
"Wrong order of creation for new backup.","Fejl i ny sikkerhedskopi (forkert rækkefølge)"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Du har ikke tilstrækkelige tilladelser til at aktivere vedligeholdelsestilstand."
